category,CD
HRH,2.0000
HRH,1.7500
HRH,1.8500
HRH,0.5455
HRH,6.3333
HRH,2.2500
ARH,44.2000
ARH,44.3636
ARH,22.9333
ARH,40.2381
HRH,5.8750
ARH,38.0000
ARH,84.2000
ARH,43.1333
ARH,18.1111
ARH,33.9600
ARH,36.0714
ARH,28.2222
ARH,27.8889
ARH,28.1111
ARH,28.5217
HRH,3.7500
HRH,0.2500
HRH,0.6875
HRH,1.0000
ARH,60.5000
ARH,14.6000
ARH,54.3333
ARH,5.3333
ARH,28.3333
ARH,22.2727
ARH,46.3636
ARH,29.9167
ARH,31.4444
ARH,224.0000
ARH,317.5000
ARH,27.7000
ARH,52.8462
ARH,29.8889
ARH,35.5556
ARH,38.5556
ARH,35.1000
ARH,37.9333
ARH,383.5000
ARH,41.2500
ARH,11.1250
ARH,37.5455
ARH,26.0000
ARH,34.1818
ARH,36.9000
ARH,11.6780
ARH,33.4167
ARH,29.8889
ARH,30.3000
HRH,8.3333
HRH,2.1111
HRH,3.1000
HRH,9.1818
HRH,1.8571
HRH,17.2500
HRH,4.0000
HRH,3.4000
HRH,7.4444
HRH,6.8571
HRH,5.0000
HRH,2.1346
HRH,10.4615
HRH,2.5694
HRH,1.4419
ARH,24.2667
ARH,19.2000
ARH,19.4545
ARH,21.7500
HRH,28.0000
HRH,6.5000
ARH,44.8462
HRH,6.5455
HRH,4.8667
HRH,2.6429
HRH,0.5833
HRH,1.0714
HRH,0.8077
HRH,7.0714
HRH,3.3333
HRH,3.8182
ARH,32.1429
ARH,21.0000
ARH,38.6667
ARH,27.4444
ARH,30.2500
ARH,60.8889
HRH,10.5714
HRH,6.4286
ARH,26.3333
ARH,20.5263
ARH,27.3500
ARH,59.2000
ARH,27.4545
ARH,37.3750
ARH,22.8667
ARH,40.7500
HRH,9.6400
HRH,39.6667
ARH,23.2703
HRH,3.0000
HRH,10.0000
ARH,43.0000
ARH,76.3077
ARH,22.6667
ARH,23.1429
ARH,19.4000
ARH,30.4545
ARH,18.8000
ARH,77.7059
HRH,11.4545
HRH,0.5000
HRH,1.7500
HRH,3.2500
HRH,1.7778
HRH,4.1000
HRH,2.2500
HRH,3.4444
HRH,1.4167
HRH,2.5556
HRH,5.4444
ARH,39.6667
ARH,41.3333
ARH,39.1667
ARH,37.5000
ARH,132.4444
HRH,2.8000
HRH,29.7500
HRH,3.5455
HRH,4.3750
HRH,5.8750
HRH,2.4444
ARH,34.0000
ARH,29.5000
ARH,145.0000
ARH,30.5000
ARH,25.2222
ARH,35.3750
ARH,15.3333
ARH,16.1143
ARH,23.5714
ARH,16.1429
HRH,8.1250
HRH,5.0909
HRH,0.3846
HRH,15.2500
HRH,11.7500
HRH,4.0000
HRH,11.6842
HRH,1.3333
HRH,6.0000
HRH,8.3333
HRH,3.0000
HRH,11.3333
HRH,8.5455
HRH,8.4444
HRH,22.0000
HRH,2.4444
HRH,18.2500
HRH,6.2059
HRH,1.2500
HRH,2.3000
HRH,0.4286
HRH,0.5000
ARH,48.7500
ARH,22.6400
ARH,26.7143
ARH,21.4545
ARH,20.9375
ARH,33.2500
ARH,14.2857
ARH,33.1429
ARH,21.2500
ARH,22.8462
ARH,35.2222
ARH,35.0000
HRH,1.2222
ARH,38.7000
ARH,62.9286
ARH,41.7000
ARH,63.4706
ARH,16.7143
ARH,46.2143
HRH,24.6250
HRH,4.0000
HRH,1.2667
HRH,5.5833
HRH,5.6000
ARH,82.0000
ARH,45.5000
HRH,2.6250
HRH,6.7500
ARH,30.8750
ARH,24.5385
ARH,61.3333
HRH,8.6667
ARH,32.8462
HRH,3.7778
HRH,39.4286
HRH,11.0000
HRH,4.3333
HRH,9.0909
HRH,6.7500
HRH,14.5556
ARH,18.0800
ARH,55.1538
ARH,19.3810
ARH,32.2000
HRH,67.6667
HRH,3.0000
HRH,3.6000
HRH,4.7778
HRH,2.8889
HRH,1.0000
HRH,6.8889
HRH,1.7500
HRH,17.2222
ARH,47.5833
HRH,8.2273
HRH,14.4444
HRH,3.6667
ARH,13.2381
ARH,43.3333
ARH,13.5714
ARH,13.0556
ARH,10.6250
ARH,13.1500
ARH,24.7273
ARH,25.8333
ARH,49.9167
ARH,25.9091
ARH,30.7857
ARH,100.0000
HRH,1.7778
HRH,0.3333
HRH,9.3750
HRH,0.7500
ARH,54.9091
ARH,37.3636
HRH,2.8889
ARH,39.3333
ARH,42.1333
ARH,45.7273
ARH,8.7500
ARH,40.5000
ARH,20.5161
HRH,0.7500
HRH,15.8571
ARH,47.6000
ARH,5.6667
ARH,4.8000
ARH,65.6364
ARH,26.8333
ARH,13.9200
ARH,17.8333
ARH,42.5455
HRH,9.5556
HRH,9.0000
HRH,1.2222
HRH,12.8966
HRH,3.0000
HRH,8.0000
HRH,12.7500
ARH,25.8182
ARH,32.1538
ARH,48.7143
ARH,18.3333
ARH,70.7500
ARH,29.3333
ARH,36.1667
HRH,2.3750
ARH,30.9231
ARH,26.0833
ARH,16.7647
ARH,17.5294
ARH,39.2667
ARH,36.3333
ARH,50.8182
ARH,33.6667
ARH,31.7778
ARH,26.2222
ARH,30.6471
ARH,10.7931
ARH,24.2632
ARH,26.0000
ARH,29.3636
ARH,71.0000
ARH,30.6250
ARH,33.1818
ARH,30.4000
ARH,29.0769
ARH,35.6667
ARH,65.3333
ARH,33.9091
ARH,30.7000
ARH,13.0769
ARH,21.5000
ARH,32.6667
ARH,37.5556
ARH,35.9091
ARH,35.5000
HRH,0.8889
ARH,69.0000
ARH,31.1111
ARH,29.9375
ARH,34.2222
ARH,38.1667
ARH,25.2105
ARH,37.6250
ARH,26.9000
HRH,0.8889
HRH,17.0909
HRH,4.7500
HRH,11.0909
HRH,2.4000
HRH,0.5556
ARH,25.6667
ARH,56.3333
ARH,44.1111
ARH,21.2000
HRH,12.1429
ARH,67.1429
ARH,30.3636
ARH,31.7273
ARH,25.8000
ARH,39.1111
ARH,40.1111
ARH,46.4286
ARH,19.0750
HRH,6.6250
HRH,7.1429
HRH,4.7143
ARH,31.5556
HRH,3.8889
HRH,44.2222
HRH,0.3421
HRH,3.3333
HRH,1.5556
ARH,20.4444
ARH,36.5556
ARH,33.0000
ARH,24.8889
ARH,91.0000
ARH,33.5000
HRH,15.4444
ARH,34.5385
ARH,29.7222
ARH,169.6875
ARH,30.5000
ARH,37.3333
ARH,25.2000
ARH,41.8095
ARH,25.2857
HRH,5.0000
HRH,2.0000
HRH,1.6667
ARH,24.2500
ARH,30.7059
ARH,25.7273
ARH,41.6429
