repo,pr_number,thread_id,pr_author,pr_created_at,comment_count,turn_type,review_category,turn_sequence_roles,comment_sequence,max_gap_hours,first_response_hours,agent_suggestion_present,mentioned_files,linked_commits,linked_commit_windows,pr_merged,pr_merge_timestamp,pr_closed_at
APSIMInitiative/ApsimX,10372,2302767680,Human(hol353),2025-08-26T23:21:21+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302767680,2025-08-27T03:50:03+00:00,created)",,4.478,true,,,,true,2025-08-31T22:40:28Z,2025-08-31T22:40:28+00:00
APSIMInitiative/ApsimX,10374,2302777252,Human(hol353),2025-08-27T01:08:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2302777252,2025-08-27T04:00:43+00:00,created)->Human(hol353,2312657608,2025-08-31T22:37:19+00:00,created)",114.610,2.877,true,,,,true,2025-09-01T03:44:07Z,2025-09-01T03:44:07+00:00
APSIMInitiative/ApsimX,10374,2302777263,Human(hol353),2025-08-27T01:08:06+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302777263,2025-08-27T04:00:44+00:00,created)",,2.877,true,,,,true,2025-09-01T03:44:07Z,2025-09-01T03:44:07+00:00
APSIMInitiative/ApsimX,10374,2302777271,Human(hol353),2025-08-27T01:08:06+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302777271,2025-08-27T04:00:44+00:00,created)",,2.877,true,,,,true,2025-09-01T03:44:07Z,2025-09-01T03:44:07+00:00
APSIMInitiative/ApsimX,10374,2302777278,Human(hol353),2025-08-27T01:08:06+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302777278,2025-08-27T04:00:44+00:00,created)",,2.877,true,,,,true,2025-09-01T03:44:07Z,2025-09-01T03:44:07+00:00
APSIMInitiative/ApsimX,10374,2302777284,Human(hol353),2025-08-27T01:08:06+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302777284,2025-08-27T04:00:44+00:00,created)",,2.877,true,,,,true,2025-09-01T03:44:07Z,2025-09-01T03:44:07+00:00
APSIMInitiative/ApsimX,10374,2302777286,Human(hol353),2025-08-27T01:08:06+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302777286,2025-08-27T04:00:45+00:00,created)",,2.877,true,,,,true,2025-09-01T03:44:07Z,2025-09-01T03:44:07+00:00
APSIMInitiative/ApsimX,10374,2302777294,Human(hol353),2025-08-27T01:08:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2302777294,2025-08-27T04:00:45+00:00,created)->Human(hol353,2312657718,2025-08-31T22:38:00+00:00,created)",114.621,2.877,true,,,,true,2025-09-01T03:44:07Z,2025-09-01T03:44:07+00:00
APSIMInitiative/ApsimX,10374,2302777300,Human(hol353),2025-08-27T01:08:06+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2302777300,2025-08-27T04:00:45+00:00,created)->Human(hol353,2312657960,2025-08-31T22:38:46+00:00,created)",114.634,2.877,true,,,,true,2025-09-01T03:44:07Z,2025-09-01T03:44:07+00:00
APSIMInitiative/ApsimX,10376,2302807403,Human(ric394),2025-08-27T04:31:17+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302807403,2025-08-27T04:31:45+00:00,created)",,0.008,true,,,,true,2025-08-29T01:55:20Z,2025-08-29T01:55:20+00:00
APSIMInitiative/ApsimX,10376,2302807410,Human(ric394),2025-08-27T04:31:17+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2302807410,2025-08-27T04:31:46+00:00,created)",,0.008,true,,,,true,2025-08-29T01:55:20Z,2025-08-29T01:55:20+00:00
APSIMInitiative/ApsimX,10400,2312721089,Human(lie112),2025-09-01T01:14:27+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2312721089,2025-09-01T01:15:09+00:00,created)",,0.012,false,,,,true,2025-09-02T00:33:27Z,2025-09-02T00:33:27+00:00
APSIMInitiative/ApsimX,10400,2312721092,Human(lie112),2025-09-01T01:14:27+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2312721092,2025-09-01T01:15:09+00:00,created)",,0.012,true,,,,true,2025-09-02T00:33:27Z,2025-09-02T00:33:27+00:00
APSIMInitiative/ApsimX,10400,2312721094,Human(lie112),2025-09-01T01:14:27+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2312721094,2025-09-01T01:15:09+00:00,created)",,0.012,true,,,,true,2025-09-02T00:33:27Z,2025-09-02T00:33:27+00:00
APSIMInitiative/ApsimX,10401,2324021620,Human(hol353),2025-09-01T04:58:03+00:00,1,single-turn,Agent_Review_Human,H(PR)->A,"Agent(Copilot,2324021620,2025-09-05T03:41:03+00:00,created)",,94.717,true,,,,true,2025-09-05T05:01:39Z,2025-09-05T05:01:39+00:00
APSIMInitiative/ApsimX,10401,2324021630,Human(hol353),2025-09-01T04:58:03+00:00,2,multi-turn,Agent_Review_Human,H(PR)->A->H,"Agent(Copilot,2324021630,2025-09-05T03:41:03+00:00,created)->Human(hol353,2324031437,2025-09-05T03:52:56+00:00,created)",0.198,94.717,true,,,,true,2025-09-05T05:01:39Z,2025-09-05T05:01:39+00:00
